date,purpleair_pm2.5,PA_pm2_5a,PA_pm2_5b,avg_temp,max_temp,min_temp,RH,dewpoint,RefEmb_pm2.5,,,,,,
4/28/2020,26.19865072,24.10879334,24.33993065,32.0087841,37.22222222,28.33333333,58.89320388,22.66759131,11.14285714,,,,,,23.79865072
4/29/2020,18.23104317,16.07119279,16.12558946,33.28478964,39.44444444,28.33333333,54.21359223,22.17676067,16.08333333,,,,,,15.83104317
4/30/2020,18.88285108,16.81212205,16.70852982,32.41793805,39.44444444,27.77777778,56.31345354,22.15903837,19.08333333,,,,,,16.48285108
5/1/2020,24.40957719,22.36615811,22.51535368,33.27246109,38.88888889,28.33333333,53.57281553,22.18446602,26.54166667,,,,,,22.00957719
5/2/2020,17.46753696,15.34312067,15.31661581,33.89736477,40,30,55.69902913,23.36261365,17.95833333,,,,,,15.06753696
5/3/2020,14.47110265,12.07550624,12.15697642,31.32531977,38.33333333,25,63.53536755,23.28478964,14.54166667,,,,,,12.07110265
5/4/2020,15.67579261,13.29877947,13.40676838,32.00107875,37.77777778,27.77777778,58.7739251,22.64062259,19.04166667,,,,,,13.27579261
5/5/2020,21.64068104,19.61709722,19.61606944,33.36959877,39.44444444,29.44444444,56.86666667,23.31404321,20,,,,,,19.24068104
5/6/2020,21.93211249,19.97325936,19.92683773,33.41346895,38.33333333,29.44444444,58.22191401,23.7871783,19.83333333,,,,,,19.53211249
5/7/2020,17.12968516,14.91489598,14.8557975,33.45045462,38.88888889,28.88888889,57.43411928,23.56834643,18,,,,,,14.72968516
5/8/2020,17.44175378,15.22797503,15.18079057,34.23640006,40.55555556,30,54.19417476,23.21158884,17.70833333,,,,,,15.04175378
5/9/2020,14.321248,11.99098474,11.96414702,33.29172446,38.33333333,28.88888889,57.14979196,23.3148405,15.5,,,,,,11.921248
5/10/2020,20.32500757,18.11248611,18.00798611,31.4837963,37.22222222,26.11111111,61.68055556,22.86111111,19.70833333,,,,,,17.92500757
5/11/2020,14.71966529,12.41243056,12.43438889,31.56404321,37.77777778,26.66666667,57.97638889,21.83719136,15.29166667,,,,,,12.31966529
5/12/2020,23.52351654,21.63335645,21.43160888,32.69610109,38.88888889,28.33333333,54.9667129,22.08583757,19.125,,,,,,21.12351654
5/13/2020,17.04484523,14.89889043,14.91672677,33.52827863,38.33333333,29.44444444,55.72399445,23.12374788,14.16666667,,,,,,14.64484523
5/14/2020,12.10636171,9.810569444,9.777930556,33.92746914,38.88888889,30,55.1375,23.34490741,11.91666667,,,,,,9.706361711
5/15/2020,20.43943893,18.21650418,18.33552925,33.4811204,38.33333333,29.44444444,57.13649025,23.50046425,16.16666667,,,,,,18.03943893
5/16/2020,17.77702465,15.51894444,15.54983333,33.45138889,38.88888889,30,56.78333333,23.37191358,15.75,,,,,,15.37702465
5/17/2020,19.88032123,17.73827778,17.67408333,33.63117284,39.44444444,30,55.67638889,23.16898148,15.70833333,,,,,,17.48032123
5/18/2020,17.5572272,15.38079057,15.33563107,32.66836184,36.66666667,27.77777778,57.32732316,22.8425027,14.83333333,,,,,,15.1572272
5/19/2020,21.44310337,19.31557103,19.17963788,32.45202724,37.22222222,28.33333333,56.72144847,22.45666976,19.45833333,,,,,,19.04310337
5/20/2020,20.60170641,18.51282337,18.43936022,31.98269201,37.77777778,26.11111111,58.92906815,22.64719518,16.45833333,,,,,,18.20170641
5/21/2020,30.73045304,28.96716273,28.81787204,32.00123628,37.22222222,27.77777778,58.44367177,22.61165199,23,,,,,,28.33045304
5/22/2020,29.97672334,27.82766434,27.79285315,31.77544678,35.55555556,28.33333333,57.86153846,22.23310023,23.125,,,,,,27.57672334
5/23/2020,26.26848456,24.27965229,24.228637,31.87683511,37.77777778,26.11111111,56.3852573,21.85829084,22.79166667,,,,,,23.86848456
5/24/2020,30.31826104,28.44027778,28.59283333,32.14583333,36.66666667,28.33333333,58.95,22.82330247,20.45833333,,,,,,27.91826104
5/25/2020,22.94376689,20.83401389,20.96406944,29.17052469,33.88888889,25,66.13333333,21.94212963,17.375,,,,,,20.54376689
