date,purpleair_pm2.5,PA_pm2_5a,PA_pm2_5b,avg_temp,max_temp,min_temp,RH,dewpoint,RefEmb_pm2.5
6/14/2020,24.54402446,24.75840278,25.03336111,30.33873457,35,25.55555556,62.38888889,22.10725309,17.54166667
6/15/2020,31.36048961,31.59564673,31.92065369,31.13506413,35.55555556,27.22222222,60.86648122,22.47488796,23.70833333
6/16/2020,26.48784417,26.80595833,27.09091667,31.07253086,35,27.77777778,61.75694444,22.67052469,20.625
6/17/2020,26.19405911,26.27536857,26.76841446,30.28820893,33.33333333,26.66666667,64.7566064,22.71673621,20.16666667
6/18/2020,33.01263873,33.47131944,33.93502778,30.01080247,32.77777778,26.11111111,63.29583333,22.07330247,24.25
6/19/2020,34.32601031,34.92652778,35.31701389,30.54166667,35.55555556,26.66666667,60.32361111,21.74845679,23.58333333
6/20/2020,31.59636163,32.14739917,32.49439499,30.01236285,33.33333333,22.22222222,61.68428373,21.62030598,23.70833333
6/21/2020,13.67952159,13.51962448,13.78059805,28.87884407,33.33333333,24.44444444,63.61057024,20.97357441,17.875
6/22/2020,34.73478119,35.294875,35.77141667,29.64506173,34.44444444,25,64.16527778,21.87345679,21.04166667
6/23/2020,43.81428448,44.70936416,45.2600289,30.50818882,35,26.11111111,61.58092486,22.05362877,26.33333333
6/24/2020,38.74812261,39.18095105,39.94657343,30.34809635,34.44444444,26.66666667,62.41678322,22.16627817,25.45833333
6/25/2020,36.44543687,36.93595537,37.61523013,30.44088021,33.33333333,26.66666667,62.07670851,22.14318921,22.95833333
6/26/2020,27.65332947,27.77607789,28.3159249,29.61211559,31.66666667,27.22222222,63.36022253,21.73466234,19.45833333
6/27/2020,14.34143368,14.26477051,14.44044506,29.0403338,32.77777778,23.88888889,65.10570236,21.61335188,15.125
6/28/2020,21.8009411,21.99369958,22.11165508,29.41276464,32.77777778,26.11111111,63.14047288,21.4325452,17.54166667
6/29/2020,23.67889627,23.81834492,24.18702364,28.32251584,31.66666667,24.44444444,67.90125174,21.60948849,15.9375
6/30/2020,26.97195552,27.23073611,27.62779167,29.35339506,32.77777778,25.55555556,62.65277778,21.3279321,16.2
7/1/2020,25.38246293,25.45684284,25.95443672,29.27136455,32.77777778,25.55555556,61.34353268,20.84608252,19.125
7/2/2020,25.71673739,25.96892907,26.28650904,29.64379539,33.88888889,25.55555556,61.13212796,21.13429145,18.41666667
7/3/2020,30.55086462,31.09493741,31.36653686,29.03647041,31.66666667,25,64.55632823,21.51985783,21.58333333
7/4/2020,33.41433451,33.92340751,34.3766064,27.36130428,30,24.44444444,72.28650904,21.72307217,19.45833333
7/5/2020,40.91719789,41.72312935,42.2750904,29.06351414,32.22222222,25,65.2767733,21.64889507,24.70833333
7/6/2020,43.46570519,44.50937326,44.89366295,28.89121015,32.77777778,25.55555556,65.1281337,21.43221913,24.25
7/7/2020,40.31705759,41.22278164,41.57426982,28.76294236,32.22222222,25,64.11265647,21.0655231,25.77272727
7/8/2020,34.97378963,35.78810585,36.02593315,28.75967193,31.66666667,25,64.98885794,21.32466729,23.58333333
7/9/2020,48.75205002,49.91396384,50.25382476,29.16241694,32.22222222,25,62.3713491,20.98130119,30.5
7/10/2020,49.08829477,50.30019471,50.74349096,28.67408438,31.66666667,25,65.23922114,21.28650904,32.95833333
7/11/2020,43.21095951,44.1140612,44.60226704,28.72817184,31.66666667,25.55555556,63.97496523,21.04697883,27.29166667
7/12/2020,43.48960647,44.47546592,44.75358832,28.81316643,32.22222222,25,61.79694019,20.52155772,28.375
7/13/2020,35.70862313,36.49963839,36.77230876,28.49945913,32.22222222,25,64.46453408,20.93184979,25.08333333
7/14/2020,24.97697668,25.34634214,25.49172462,28.26997373,31.66666667,25,65.18497914,20.85844537,19
7/15/2020,26.00434848,26.38517385,26.59058414,28.09148509,31.66666667,23.88888889,64.53685675,20.52619379,19.33333333
7/16/2020,24.95593774,25.25374652,25.43955432,28.20798514,32.22222222,23.88888889,62.68941504,20.17099969,17.25
7/17/2020,26.63627801,27.06578581,27.14726008,28.12161953,32.22222222,24.44444444,62.97079277,20.19239685,20.125
7/18/2020,32.37990966,32.86965181,33.11097493,28.89275766,33.33333333,25,62.65041783,20.79851439,20.91666667
7/19/2020,21.9429195,22.13257302,22.35126565,29.14309998,32.77777778,25,63.35744089,21.24092103,20.5
7/20/2020,19.03904237,19.19481894,19.30227019,28.95697926,33.33333333,25,63.05710306,20.97879913,15.70833333
7/21/2020,26.93547357,27.29229485,27.5447427,28.87961675,32.22222222,25.55555556,63.87482615,21.15206305,18.83333333
7/22/2020,28.52648911,29.00243394,29.20821975,28.68644723,33.33333333,25,63.06258693,20.75336115,24.16666667
7/23/2020,27.28032064,27.82369958,27.92739917,29.36331324,33.88888889,25,61.20027816,20.81440272,25.25
7/24/2020,28.0539216,28.39557719,28.73563282,28.51414001,32.77777778,24.44444444,66.20862309,21.3583681,21.875
7/25/2020,38.71847342,39.38360223,39.8059249,28.8919796,32.77777778,25,62.17524339,20.66218513,26.79166667
7/26/2020,52.21358475,53.40468707,54.0405007,28.08530366,30.55555556,25,63.66620306,20.39252048,31.33333333
7/27/2020,41.45627804,42.3641922,42.71718663,28.23274528,31.66666667,25,61.95821727,19.99767874,26.45833333
7/28/2020,33.97084614,34.66503477,34.94756606,28.62308762,32.77777778,25,60.95132128,20.06876835,24.375
7/29/2020,32.94179115,33.36098886,33.81633705,29.19297431,33.88888889,25,61.07799443,20.62287218,23.66666667
7/30/2020,26.9703335,27.29884401,27.56033426,28.57783968,33.33333333,24.44444444,61.59331476,20.1996286,19.29166667
7/31/2020,24.87521641,24.88719054,25.38182197,28.37660331,31.66666667,25,63.60917942,20.60732499,17.45833333
8/1/2020,27.44971726,27.60089013,28.05584145,29.04419719,33.33333333,24.44444444,62.02503477,20.78735899,18.29166667
8/2/2020,27.40431122,27.63845404,28.07133705,28.43856391,32.77777778,25,61.16016713,19.95202724,19.08333333
8/3/2020,32.53422933,33.10500695,33.46004172,28.21047752,32.22222222,23.88888889,59.59527121,19.34090558,21.83333333
8/4/2020,39.44638429,40.02884562,40.50713491,27.96862927,33.33333333,23.33333333,59.06675939,18.85257302,24.79166667
8/5/2020,19.32970508,19.43729805,19.6067688,27.25394615,31.66666667,23.33333333,59.78272981,18.45171773,16.625
